"post_id","date","platform","content_type","caption","hashtags","reach","impressions","likes","comments","shares","followers_start","new_followers","lost_followers","sentiment","posted_hour"
"post_00001","2025-10-31","Instagram","Image","Synthetic social media update","#analytics #community","5884","8491","300","47","29","13648","10","3","neutral","18"
"post_00002","2025-04-17","YouTube","Reel","Synthetic social media update","#marketing #business","12048","28190","612","75","21","11284","21","7","positive","13"
"post_00003","2025-06-30","Instagram","Image","Synthetic social media update","#marketing #growth","24669","34706","1806","85","221","12172","57","19","negative","21"
"post_00004","2025-11-12","Facebook","Video","Synthetic social media update","#analytics #news","9937","19377","762","131","23","13792","27","9","positive","19"
"post_00005","2025-12-07","YouTube","Video","Synthetic social media update","#growth #learning","2479","3842","229","32","10","14092","8","3","positive","18"
"post_00006","2025-05-12","X/Twitter","Video","Synthetic social media update","#marketing #technology","18532","40571","1321","64","112","11584","42","14","positive","15"
"post_00007","2025-04-10","Instagram","Carousel","Synthetic social media update","#learning #growth","2991","3640","262","13","24","11200","8","3","positive","19"
"post_00008","2025-07-19","Facebook","Reel","Synthetic social media update","#community #growth","25036","52971","777","31","30","12400","24","8","positive","0"
"post_00009","2026-02-20","LinkedIn","Reel","Synthetic social media update","#analytics #news","18881","34207","634","63","31","10612","21","7","neutral","19"
"post_00010","2025-08-31","Facebook","Carousel","Synthetic social media update","#news #community","18015","45772","1600","69","231","12916","50","17","negative","7"
"post_00011","2025-11-20","Instagram","Image","Synthetic social media update","#learning #business","10664","16017","982","63","47","13888","31","10","neutral","14"
"post_00012","2025-08-22","LinkedIn","Short","Synthetic social media update","#growth #learning","21733","45882","1155","148","183","12808","39","13","negative","0"
"post_00013","2025-06-07","LinkedIn","Image","Synthetic social media update","#community #learning","8697","15577","288","21","31","11896","9","3","positive","2"
"post_00014","2026-03-29","Instagram","Image","Synthetic social media update","#marketing #community","10391","13081","936","161","29","11056","33","11","positive","20"
"post_00015","2026-02-12","YouTube","Live","Synthetic social media update","#marketing #technology","9103","13374","670","95","75","10516","23","8","negative","7"
"post_00016","2025-03-25","Instagram","Video","Synthetic social media update","#community #marketing","29635","43308","2742","169","397","11008","87","29","negative","7"
"post_00017","2025-09-12","Facebook","Text","Synthetic social media update","#business #news","18347","30960","1125","204","99","13060","40","13","positive","23"
"post_00018","2025-07-30","Facebook","Live","Synthetic social media update","#news #growth","4721","11880","182","7","10","12532","6","2","negative","17"
"post_00019","2025-07-03","Facebook","Carousel","Synthetic social media update","#marketing #learning","27409","45703","2936","536","154","12208","104","35","positive","13"
"post_00020","2025-10-08","LinkedIn","Short","Synthetic social media update","#technology #analytics","9134","14121","522","65","70","13372","18","6","negative","21"
"post_00021","2025-10-30","Instagram","Video","Synthetic social media update","#community #learning","25174","58585","2044","109","173","13636","65","22","positive","21"
"post_00022","2025-12-21","LinkedIn","Live","Synthetic social media update","#growth #news","26832","40134","2885","187","307","14260","92","31","neutral","15"
"post_00023","2025-08-16","X/Twitter","Image","Synthetic social media update","#technology #learning","11088","21530","795","123","45","12736","28","9","negative","18"
"post_00024","2025-09-22","Instagram","Live","Synthetic social media update","#business #community","2614","4203","123","11","6","13180","4","1","positive","6"
"post_00025","2026-02-06","Facebook","Carousel","Synthetic social media update","#marketing #news","23138","55512","1921","384","146","10444","69","23","neutral","7"
